date,close,volume
2025-06-10 00:00:00+00:00,165.12000000,3589559.16300000
2025-06-11 00:00:00+00:00,160.97000000,4019424.99900000
2025-06-12 00:00:00+00:00,152.32000000,2883476.68500000
2025-06-13 00:00:00+00:00,148.60000000,5339782.78300000
2025-06-14 00:00:00+00:00,144.64000000,1679994.75100000
2025-06-15 00:00:00+00:00,152.97000000,2831999.61600000
2025-06-16 00:00:00+00:00,150.72000000,3573196.78500000
2025-06-17 00:00:00+00:00,147.57000000,3395648.85900000
2025-06-18 00:00:00+00:00,146.34000000,2800908.98000000
2025-06-19 00:00:00+00:00,147.04000000,2285335.72900000
2025-06-20 00:00:00+00:00,140.11000000,3393327.20900000
2025-06-21 00:00:00+00:00,135.43000000,2826424.14300000
2025-06-22 00:00:00+00:00,131.71000000,4252120.02300000
2025-06-23 00:00:00+00:00,144.51000000,4573147.66700000
2025-06-24 00:00:00+00:00,145.92000000,2741809.08600000
2025-06-25 00:00:00+00:00,143.57000000,2233601.90900000
2025-06-26 00:00:00+00:00,139.06000000,2522507.94200000
2025-06-27 00:00:00+00:00,142.09000000,2471847.15000000
2025-06-28 00:00:00+00:00,150.72000000,2657836.68200000
2025-06-29 00:00:00+00:00,153.32000000,2150026.17200000
2025-06-30 00:00:00+00:00,154.81000000,3871390.33500000
2025-07-01 00:00:00+00:00,146.88000000,2770862.17400000
2025-07-02 00:00:00+00:00,152.27000000,2652574.27900000
2025-07-03 00:00:00+00:00,152.36000000,2686218.20500000
2025-07-04 00:00:00+00:00,147.70000000,2308086.73600000
2025-07-05 00:00:00+00:00,147.55000000,1173963.86000000
2025-07-06 00:00:00+00:00,151.86000000,2486859.71800000
2025-07-07 00:00:00+00:00,148.88000000,2174727.72300000
2025-07-08 00:00:00+00:00,151.67000000,2712869.32300000
2025-07-09 00:00:00+00:00,157.05000000,2907219.74800000
2025-07-10 00:00:00+00:00,164.34000000,3428382.34900000
2025-07-11 00:00:00+00:00,162.93000000,4354179.71300000
2025-07-12 00:00:00+00:00,160.69000000,2043211.94200000
2025-07-13 00:00:00+00:00,161.15000000,1929745.85100000
2025-07-14 00:00:00+00:00,162.21000000,3973706.53300000
2025-07-15 00:00:00+00:00,163.98000000,3665295.75300000
2025-07-16 00:00:00+00:00,173.63000000,5020288.12300000
2025-07-17 00:00:00+00:00,175.87000000,4491555.72700000
2025-07-18 00:00:00+00:00,177.28000000,5191853.16800000
2025-07-19 00:00:00+00:00,176.96000000,2059315.00800000
2025-07-20 00:00:00+00:00,181.43000000,3694854.91500000
2025-07-21 00:00:00+00:00,195.72000000,6495907.17900000
2025-07-22 00:00:00+00:00,205.70000000,8635627.17300000
2025-07-23 00:00:00+00:00,189.40000000,5548137.49900000
2025-07-24 00:00:00+00:00,182.87000000,5217064.87100000
2025-07-25 00:00:00+00:00,186.76000000,4481310.44000000
2025-07-26 00:00:00+00:00,184.88000000,1773453.87500000
2025-07-27 00:00:00+00:00,188.64000000,2233060.13300000
2025-07-28 00:00:00+00:00,183.11000000,4067872.12700000
2025-07-29 00:00:00+00:00,181.48000000,2541912.03600000
2025-07-30 00:00:00+00:00,177.77000000,3297250.18700000
2025-07-31 00:00:00+00:00,172.22000000,2624841.78300000
2025-08-01 00:00:00+00:00,162.71000000,4317529.31500000
2025-08-02 00:00:00+00:00,158.48000000,2208175.07500000
2025-08-03 00:00:00+00:00,161.97000000,2297909.31100000
2025-08-04 00:00:00+00:00,169.55000000,2688954.15800000
2025-08-05 00:00:00+00:00,164.09000000,2554958.00900000
2025-08-06 00:00:00+00:00,168.09000000,1797491.42900000
2025-08-07 00:00:00+00:00,175.36000000,3014662.99500000
2025-08-08 00:00:00+00:00,176.78000000,3678790.65500000
2025-08-09 00:00:00+00:00,179.95000000,3325504.38700000
2025-08-10 00:00:00+00:00,182.66000000,4197287.28700000
2025-08-11 00:00:00+00:00,174.84000000,3960743.53100000
