date,close,volume
2025-06-10 00:00:00+00:00,2816.40000000,1138405.47750000
2025-06-11 00:00:00+00:00,2771.61000000,850210.93240000
2025-06-12 00:00:00+00:00,2642.65000000,699593.37570000
2025-06-13 00:00:00+00:00,2579.19000000,1202176.29720000
2025-06-14 00:00:00+00:00,2530.76000000,331438.92780000
2025-06-15 00:00:00+00:00,2547.61000000,299701.66240000
2025-06-16 00:00:00+00:00,2544.17000000,680429.98800000
2025-06-17 00:00:00+00:00,2509.95000000,715930.40810000
2025-06-18 00:00:00+00:00,2525.00000000,504532.18180000
2025-06-19 00:00:00+00:00,2521.12000000,252646.05900000
2025-06-20 00:00:00+00:00,2406.49000000,632027.82350000
2025-06-21 00:00:00+00:00,2295.73000000,496783.86400000
2025-06-22 00:00:00+00:00,2227.70000000,840155.82950000
2025-06-23 00:00:00+00:00,2411.66000000,744583.80030000
2025-06-24 00:00:00+00:00,2448.45000000,516760.66210000
2025-06-25 00:00:00+00:00,2418.49000000,414894.73870000
2025-06-26 00:00:00+00:00,2415.96000000,463704.02610000
2025-06-27 00:00:00+00:00,2423.17000000,381474.76600000
2025-06-28 00:00:00+00:00,2435.62000000,155814.98590000
2025-06-29 00:00:00+00:00,2500.09000000,284291.80570000
2025-06-30 00:00:00+00:00,2485.47000000,440455.71400000
2025-07-01 00:00:00+00:00,2405.01000000,351951.08680000
2025-07-02 00:00:00+00:00,2570.41000000,634967.03370000
2025-07-03 00:00:00+00:00,2591.25000000,504943.65920000
2025-07-04 00:00:00+00:00,2508.04000000,452593.02000000
2025-07-05 00:00:00+00:00,2516.41000000,157198.09580000
2025-07-06 00:00:00+00:00,2570.35000000,277593.63190000
2025-07-07 00:00:00+00:00,2542.29000000,315707.52720000
2025-07-08 00:00:00+00:00,2615.25000000,370915.73210000
2025-07-09 00:00:00+00:00,2768.74000000,686119.37720000
2025-07-10 00:00:00+00:00,2951.29000000,951896.07000000
2025-07-11 00:00:00+00:00,2958.22000000,906839.16890000
2025-07-12 00:00:00+00:00,2943.28000000,348884.88770000
2025-07-13 00:00:00+00:00,2972.03000000,357333.50160000
2025-07-14 00:00:00+00:00,3013.62000000,815552.64960000
2025-07-15 00:00:00+00:00,3137.89000000,863583.73770000
2025-07-16 00:00:00+00:00,3371.35000000,1135950.58310000
2025-07-17 00:00:00+00:00,3476.87000000,974065.82640000
2025-07-18 00:00:00+00:00,3546.92000000,1163823.39770000
2025-07-19 00:00:00+00:00,3592.01000000,381791.92130000
2025-07-20 00:00:00+00:00,3756.69000000,852356.55330000
2025-07-21 00:00:00+00:00,3762.33000000,812074.05340000
2025-07-22 00:00:00+00:00,3746.21000000,870127.38640000
2025-07-23 00:00:00+00:00,3628.29000000,800259.40250000
2025-07-24 00:00:00+00:00,3706.94000000,749459.49500000
2025-07-25 00:00:00+00:00,3724.96000000,764606.72610000
2025-07-26 00:00:00+00:00,3741.10000000,407259.70240000
2025-07-27 00:00:00+00:00,3872.10000000,457352.46050000
2025-07-28 00:00:00+00:00,3799.00000000,620994.74630000
2025-07-29 00:00:00+00:00,3793.79000000,584210.43930000
2025-07-30 00:00:00+00:00,3810.00000000,525424.90030000
2025-07-31 00:00:00+00:00,3698.39000000,516088.45030000
2025-08-01 00:00:00+00:00,3488.20000000,783869.15170000
2025-08-02 00:00:00+00:00,3393.94000000,494195.70940000
2025-08-03 00:00:00+00:00,3496.74000000,296347.67580000
2025-08-04 00:00:00+00:00,3720.99000000,463349.98610000
2025-08-05 00:00:00+00:00,3612.00000000,489070.95890000
2025-08-06 00:00:00+00:00,3683.31000000,365309.92050000
2025-08-07 00:00:00+00:00,3910.31000000,631678.98720000
2025-08-08 00:00:00+00:00,4009.50000000,723300.01090000
2025-08-09 00:00:00+00:00,4260.62000000,691932.10480000
2025-08-10 00:00:00+00:00,4250.57000000,494843.81050000
2025-08-11 00:00:00+00:00,4223.22000000,722664.04000000
2025-08-12 00:00:00+00:00,4590.52000000,885288.06520000
2025-08-13 00:00:00+00:00,4749.30000000,925931.49880000
2025-08-14 00:00:00+00:00,4546.84000000,1265449.04530000
2025-08-15 00:00:00+00:00,4439.47000000,880409.25910000
2025-08-16 00:00:00+00:00,4421.99000000,358676.58840000
2025-08-17 00:00:00+00:00,4472.33000000,442461.38290000
2025-08-18 00:00:00+00:00,4312.99000000,823188.12690000
2025-08-19 00:00:00+00:00,4075.59000000,831222.79510000
2025-08-20 00:00:00+00:00,4336.16000000,728324.89330000
2025-08-21 00:00:00+00:00,4225.30000000,433836.39920000
2025-08-22 00:00:00+00:00,4832.07000000,1277976.63526000
2025-08-23 00:00:00+00:00,4778.40000000,512442.08880000
2025-08-24 00:00:00+00:00,4780.15000000,780668.77842000
2025-08-25 00:00:00+00:00,4376.18000000,1043917.16590000
2025-08-26 00:00:00+00:00,4600.63000000,834750.27670000
2025-08-27 00:00:00+00:00,4506.71000000,606669.36110000
